"Year","Industries_luok","Municipality","Bankruptcies instigated, number of enterprises","Bankruptcies instigated, number of employees"
"2021","Manufacturing, mining and energy and water supply","Orimattila",1,5
"2021","Manufacturing, mining and energy and water supply","Oripää",0,0
"2021","Manufacturing, mining and energy and water supply","Orivesi",0,0
"2021","Manufacturing, mining and energy and water supply","Oulainen",0,0
"2021","Manufacturing, mining and energy and water supply","Oulu",6,14
"2021","Manufacturing, mining and energy and water supply","Outokumpu",1,2
"2021","Manufacturing, mining and energy and water supply","Padasjoki",0,0
"2021","Manufacturing, mining and energy and water supply","Paimio",0,0
"2021","Manufacturing, mining and energy and water supply","Paltamo",1,2
"2021","Manufacturing, mining and energy and water supply","Pargas",0,0
"2021","Manufacturing, mining and energy and water supply","Parikkala",0,0
"2021","Manufacturing, mining and energy and water supply","Parkano",1,14
"2021","Manufacturing, mining and energy and water supply","Pedersöre",0,0
"2021","Manufacturing, mining and energy and water supply","Pelkosenniemi",0,0
"2021","Manufacturing, mining and energy and water supply","Pello",0,0
"2021","Manufacturing, mining and energy and water supply","Perho",0,0
"2021","Manufacturing, mining and energy and water supply","Petäjävesi",0,0
"2021","Manufacturing, mining and energy and water supply","Pieksämäki",0,0
"2021","Manufacturing, mining and energy and water supply","Pielavesi",0,0
"2021","Manufacturing, mining and energy and water supply","Jakobstad",0,0
"2021","Manufacturing, mining and energy and water supply","Pihtipudas",0,0
"2021","Manufacturing, mining and energy and water supply","Pirkkala",4,15
"2021","Manufacturing, mining and energy and water supply","Polvijärvi",0,0
"2021","Manufacturing, mining and energy and water supply","Pomarkku",0,0
"2021","Manufacturing, mining and energy and water supply","Pori",3,12
"2021","Manufacturing, mining and energy and water supply","Pornainen",0,0
"2021","Manufacturing, mining and energy and water supply","Porvoo",2,20
"2021","Manufacturing, mining and energy and water supply","Posio",1,1
"2021","Manufacturing, mining and energy and water supply","Pudasjärvi",0,0
"2021","Manufacturing, mining and energy and water supply","Pukkila",0,0
"2021","Manufacturing, mining and energy and water supply","Punkalaidun",1,9
"2021","Manufacturing, mining and energy and water supply","Puolanka",0,0
"2021","Manufacturing, mining and energy and water supply","Puumala",1,20
"2021","Manufacturing, mining and energy and water supply","Pyhtää",0,0
"2021","Manufacturing, mining and energy and water supply","Pyhäjoki",0,0
"2021","Manufacturing, mining and energy and water supply","Pyhäjärvi",0,0
"2021","Manufacturing, mining and energy and water supply","Pyhäntä",1,1
"2021","Manufacturing, mining and energy and water supply","Pyhäranta",0,0
"2021","Manufacturing, mining and energy and water supply","Pälkäne",0,0
"2021","Manufacturing, mining and energy and water supply","Pöytyä",1,4
"2021","Manufacturing, mining and energy and water supply","Raahe",3,20
"2021","Manufacturing, mining and energy and water supply","Raseborg",0,0
"2021","Manufacturing, mining and energy and water supply","Raisio",0,0
"2021","Manufacturing, mining and energy and water supply","Rantasalmi",0,0
"2021","Manufacturing, mining and energy and water supply","Ranua",0,0
"2021","Manufacturing, mining and energy and water supply","Rauma",3,6
"2021","Manufacturing, mining and energy and water supply","Rautalampi",0,0
"2021","Manufacturing, mining and energy and water supply","Rautavaara",0,0
"2021","Manufacturing, mining and energy and water supply","Rautjärvi",0,0
"2021","Manufacturing, mining and energy and water supply","Reisjärvi",0,0
"2021","Manufacturing, mining and energy and water supply","Riihimäki",1,1
"2021","Manufacturing, mining and energy and water supply","Ristijärvi",0,0
"2021","Manufacturing, mining and energy and water supply","Rovaniemi",4,14
"2021","Manufacturing, mining and energy and water supply","Ruokolahti",0,0
"2021","Manufacturing, mining and energy and water supply","Ruovesi",0,0
"2021","Manufacturing, mining and energy and water supply","Rusko",0,0
"2021","Manufacturing, mining and energy and water supply","Rääkkylä",0,0
"2021","Manufacturing, mining and energy and water supply","Saarijärvi",0,0
"2021","Manufacturing, mining and energy and water supply","Salla",0,0
"2021","Manufacturing, mining and energy and water supply","Salo",0,0
"2021","Manufacturing, mining and energy and water supply","Saltvik",0,0
"2021","Manufacturing, mining and energy and water supply","Sastamala",2,3
"2021","Manufacturing, mining and energy and water supply","Sauvo",0,0
"2021","Manufacturing, mining and energy and water supply","Savitaipale",0,0
"2021","Manufacturing, mining and energy and water supply","Savonlinna",4,6
"2021","Manufacturing, mining and energy and water supply","Savukoski",0,0
"2021","Manufacturing, mining and energy and water supply","Seinäjoki",3,13
"2021","Manufacturing, mining and energy and water supply","Sievi",0,0
"2021","Manufacturing, mining and energy and water supply","Siikainen",0,0
"2021","Manufacturing, mining and energy and water supply","Siikajoki",1,1
"2021","Manufacturing, mining and energy and water supply","Siikalatva",0,0
"2021","Manufacturing, mining and energy and water supply","Siilinjärvi",1,3
"2021","Manufacturing, mining and energy and water supply","Simo",0,0
"2021","Manufacturing, mining and energy and water supply","Sipoo",1,1
"2021","Manufacturing, mining and energy and water supply","Siuntio",0,0
"2021","Manufacturing, mining and energy and water supply","Sodankylä",0,0
"2021","Manufacturing, mining and energy and water supply","Soini",0,0
"2021","Manufacturing, mining and energy and water supply","Somero",1,1
"2021","Manufacturing, mining and energy and water supply","Sonkajärvi",1,63
"2021","Manufacturing, mining and energy and water supply","Sotkamo",0,0
"2021","Manufacturing, mining and energy and water supply","Sottunga",0,0
"2021","Manufacturing, mining and energy and water supply","Sulkava",0,0
"2021","Manufacturing, mining and energy and water supply","Sund",0,0
"2021","Manufacturing, mining and energy and water supply","Suomussalmi",0,0
"2021","Manufacturing, mining and energy and water supply","Suonenjoki",0,0
"2021","Manufacturing, mining and energy and water supply","Sysmä",0,0
"2021","Manufacturing, mining and energy and water supply","Säkylä",0,0
"2021","Manufacturing, mining and energy and water supply","Taipalsaari",0,0
"2021","Manufacturing, mining and energy and water supply","Taivalkoski",0,0
"2021","Manufacturing, mining and energy and water supply","Taivassalo",0,0
"2021","Manufacturing, mining and energy and water supply","Tammela",0,0
"2021","Manufacturing, mining and energy and water supply","Tampere",11,31
"2021","Manufacturing, mining and energy and water supply","Tervo",0,0
"2021","Manufacturing, mining and energy and water supply","Tervola",0,0
"2021","Manufacturing, mining and energy and water supply","Teuva",0,0
"2021","Manufacturing, mining and energy and water supply","Tohmajärvi",0,0
"2021","Manufacturing, mining and energy and water supply","Toholampi",0,0
"2021","Manufacturing, mining and energy and water supply","Toivakka",0,0
"2021","Manufacturing, mining and energy and water supply","Tornio",2,24
"2021","Manufacturing, mining and energy and water supply","Turku",5,50
"2021","Manufacturing, mining and energy and water supply","Tuusniemi",0,0
"2021","Manufacturing, mining and energy and water supply","Tuusula",2,2
"2021","Manufacturing, mining and energy and water supply","Tyrnävä",0,0
"2021","Manufacturing, mining and energy and water supply","Ulvila",0,0
"2021","Manufacturing, mining and energy and water supply","Urjala",2,2
"2021","Manufacturing, mining and energy and water supply","Utajärvi",0,0
"2021","Manufacturing, mining and energy and water supply","Utsjoki",0,0
"2021","Manufacturing, mining and energy and water supply","Uurainen",0,0
"2021","Manufacturing, mining and energy and water supply","Nykarleby",1,7
"2021","Manufacturing, mining and energy and water supply","Uusikaupunki",0,0
"2021","Manufacturing, mining and energy and water supply","Vaala",0,0
"2021","Manufacturing, mining and energy and water supply","Vaasa",3,23
"2021","Manufacturing, mining and energy and water supply","Valkeakoski",0,0
"2021","Manufacturing, mining and energy and water supply","Vantaa",3,25
"2021","Manufacturing, mining and energy and water supply","Varkaus",2,8
"2021","Manufacturing, mining and energy and water supply","Vehmaa",0,0
"2021","Manufacturing, mining and energy and water supply","Vesanto",0,0
"2021","Manufacturing, mining and energy and water supply","Vesilahti",0,0
"2021","Manufacturing, mining and energy and water supply","Veteli",0,0
"2021","Manufacturing, mining and energy and water supply","Vieremä",0,0
"2021","Manufacturing, mining and energy and water supply","Vihti",1,1
"2021","Manufacturing, mining and energy and water supply","Viitasaari",0,0
"2021","Manufacturing, mining and energy and water supply","Vimpeli",0,0
"2021","Manufacturing, mining and energy and water supply","Virolahti",0,0
"2021","Manufacturing, mining and energy and water supply","Virrat",0,0
"2021","Manufacturing, mining and energy and water supply","Vårdö",0,0
"2021","Manufacturing, mining and energy and water supply","Vörå",0,0
"2021","Manufacturing, mining and energy and water supply","Ylitornio",0,0
"2021","Manufacturing, mining and energy and water supply","Ylivieska",0,0
"2021","Manufacturing, mining and energy and water supply","Ylöjärvi",2,9
"2021","Manufacturing, mining and energy and water supply","Ypäjä",0,0
"2021","Manufacturing, mining and energy and water supply","Ähtäri",1,1
"2021","Manufacturing, mining and energy and water supply","Äänekoski",0,0
"2021","Construction","WHOLE COUNTRY",552,3042
"2021","Construction","Akaa",0,0
"2021","Construction","Alajärvi",1,2
"2021","Construction","Alavieska",1,4
"2021","Construction","Alavus",0,0
"2021","Construction","Asikkala",2,4
"2021","Construction","Askola",1,1
"2021","Construction","Aura",0,0
"2021","Construction","Brändö",0,0
"2021","Construction","Eckerö",0,0
"2021","Construction","Enonkoski",0,0
"2021","Construction","Enontekiö",0,0
"2021","Construction","Espoo",27,151
"2021","Construction","Eura",0,0
"2021","Construction","Eurajoki",0,0
"2021","Construction","Evijärvi",0,0
"2021","Construction","Finström",0,0
"2021","Construction","Forssa",0,0
"2021","Construction","Föglö",0,0
"2021","Construction","Geta",0,0
"2021","Construction","Haapajärvi",1,1
"2021","Construction","Haapavesi",0,0
"2021","Construction","Hailuoto",0,0
"2021","Construction","Halsua",0,0
"2021","Construction","Hamina",1,4
"2021","Construction","Hammarland",0,0
"2021","Construction","Hankasalmi",0,0
"2021","Construction","Hanko",0,0
"2021","Construction","Harjavalta",0,0
"2021","Construction","Hartola",0,0
"2021","Construction","Hattula",0,0
"2021","Construction","Hausjärvi",0,0
"2021","Construction","Heinola",2,6
"2021","Construction","Heinävesi",0,0
"2021","Construction","Helsinki",101,775
"2021","Construction","Hirvensalmi",0,0
"2021","Construction","Hollola",0,0
"2021","Construction","Huittinen",1,17
"2021","Construction","Humppila",1,5
"2021","Construction","Hyrynsalmi",0,0
"2021","Construction","Hyvinkää",4,22
"2021","Construction","Hämeenkyrö",3,6
"2021","Construction","Hämeenlinna",2,3
"2021","Construction","Ii",0,0
"2021","Construction","Iisalmi",0,0
"2021","Construction","Iitti",0,0
"2021","Construction","Ikaalinen",0,0
"2021","Construction","Ilmajoki",1,1
"2021","Construction","Ilomantsi",0,0
"2021","Construction","Imatra",2,4
"2021","Construction","Inari",0,0
"2021","Construction","Ingå",2,12
"2021","Construction","Isojoki",0,0
"2021","Construction","Isokyrö",0,0
"2021","Construction","Janakkala",3,40
"2021","Construction","Joensuu",8,57
"2021","Construction","Jokioinen",3,16
"2021","Construction","Jomala",0,0
"2021","Construction","Joroinen",0,0
"2021","Construction","Joutsa",1,5
"2021","Construction","Juuka",0,0
"2021","Construction","Juupajoki",1,1
"2021","Construction","Juva",0,0
"2021","Construction","Jyväskylä",9,51
"2021","Construction","Jämijärvi",0,0
"2021","Construction","Jämsä",2,17
"2021","Construction","Järvenpää",2,8
"2021","Construction","Kaarina",2,2
"2021","Construction","Kaavi",0,0
"2021","Construction","Kajaani",2,4
"2021","Construction","Kalajoki",1,1
"2021","Construction","Kangasala",2,6
"2021","Construction","Kangasniemi",0,0
"2021","Construction","Kankaanpää",3,4
"2021","Construction","Kannonkoski",0,0
"2021","Construction","Kannus",0,0
"2021","Construction","Karijoki",0,0
"2021","Construction","Karkkila",2,8
"2021","Construction","Karstula",0,0
"2021","Construction","Karvia",1,2
"2021","Construction","Kaskinen",0,0
"2021","Construction","Kauhajoki",1,4
"2021","Construction","Kauhava",2,15
"2021","Construction","Kauniainen",0,0
"2021","Construction","Kaustinen",0,0
"2021","Construction","Keitele",0,0
"2021","Construction","Kemi",1,1
"2021","Construction","Kemijärvi",1,4
"2021","Construction","Keminmaa",0,0
"2021","Construction","Kimitoön",6,21
"2021","Construction","Kempele",0,0
"2021","Construction","Kerava",5,64
"2021","Construction","Keuruu",0,0
"2021","Construction","Kihniö",0,0
"2021","Construction","Kinnula",0,0
"2021","Construction","Kirkkonummi",9,53
"2021","Construction","Kitee",0,0
"2021","Construction","Kittilä",0,0
"2021","Construction","Kiuruvesi",0,0
"2021","Construction","Kivijärvi",0,0
"2021","Construction","Kokemäki",0,0
"2021","Construction","Kokkola",1,19
"2021","Construction","Kolari",0,0
"2021","Construction","Konnevesi",0,0
"2021","Construction","Kontiolahti",2,5
"2021","Construction","Korsnäs",0,0
"2021","Construction","Koski Tl",0,0
"2021","Construction","Kotka",9,37
"2021","Construction","Kouvola",7,36
"2021","Construction","Kristinestad",0,0
"2021","Construction","Kronoby",0,0
"2021","Construction","Kuhmo",1,12
"2021","Construction","Kuhmoinen",0,0
"2021","Construction","Kumlinge",0,0
"2021","Construction","Kuopio",6,28
"2021","Construction","Kuortane",0,0
"2021","Construction","Kurikka",2,9
"2021","Construction","Kustavi",0,0
"2021","Construction","Kuusamo",1,5
"2021","Construction","Kyyjärvi",0,0
"2021","Construction","Kärkölä",0,0
"2021","Construction","Kärsämäki",0,0
"2021","Construction","Kökar",0,0
"2021","Construction","Lahti",13,75
"2021","Construction","Laihia",0,0
"2021","Construction","Laitila",2,4
"2021","Construction","Lapinjärvi",0,0
"2021","Construction","Lapinlahti",0,0
"2021","Construction","Lappajärvi",0,0
"2021","Construction","Lappeenranta",6,19
"2021","Construction","Lapua",1,6
"2021","Construction","Laukaa",3,8
"2021","Construction","Lemi",0,0
"2021","Construction","Lemland",1,1
"2021","Construction","Lempäälä",5,14
"2021","Construction","Leppävirta",1,2
"2021","Construction","Lestijärvi",0,0
"2021","Construction","Lieksa",0,0
"2021","Construction","Lieto",2,2
"2021","Construction","Liminka",0,0
"2021","Construction","Liperi",3,6
"2021","Construction","Lohja",8,29
"2021","Construction","Loimaa",1,1
"2021","Construction","Loppi",1,13
"2021","Construction","Loviisa",2,3
"2021","Construction","Luhanka",0,0
"2021","Construction","Lumijoki",0,0
"2021","Construction","Lumparland",0,0
"2021","Construction","Larsmo",0,0
"2021","Construction","Luumäki",1,2
"2021","Construction","Malax",1,1
"2021","Construction","Mariehamn",1,1
"2021","Construction","Marttila",0,0
"2021","Construction","Masku",2,23
"2021","Construction","Merijärvi",0,0
"2021","Construction","Merikarvia",3,15
"2021","Construction","Miehikkälä",0,0
"2021","Construction","Mikkeli",2,5
"2021","Construction","Muhos",0,0
"2021","Construction","Multia",0,0
"2021","Construction","Muonio",0,0
"2021","Construction","Korsholm",1,1
"2021","Construction","Muurame",1,1
"2021","Construction","Mynämäki",0,0
"2021","Construction","Myrskylä",0,0
"2021","Construction","Mäntsälä",1,11
"2021","Construction","Mänttä-Vilppula",0,0
"2021","Construction","Mäntyharju",2,2
"2021","Construction","Naantali",3,4
"2021","Construction","Nakkila",0,0
"2021","Construction","Nivala",1,10
"2021","Construction","Nokia",4,11
"2021","Construction","Nousiainen",1,5
"2021","Construction","Nurmes",2,10
"2021","Construction","Nurmijärvi",6,76
"2021","Construction","Närpes",0,0
"2021","Construction","Orimattila",4,21
"2021","Construction","Oripää",0,0
"2021","Construction","Orivesi",0,0
"2021","Construction","Oulainen",0,0
"2021","Construction","Oulu",10,63
"2021","Construction","Outokumpu",0,0
"2021","Construction","Padasjoki",0,0
"2021","Construction","Paimio",3,15
"2021","Construction","Paltamo",1,13
"2021","Construction","Pargas",2,3
"2021","Construction","Parikkala",1,1
"2021","Construction","Parkano",0,0
"2021","Construction","Pedersöre",1,1
"2021","Construction","Pelkosenniemi",0,0
"2021","Construction","Pello",0,0
"2021","Construction","Perho",0,0
"2021","Construction","Petäjävesi",0,0
"2021","Construction","Pieksämäki",0,0
"2021","Construction","Pielavesi",0,0
"2021","Construction","Jakobstad",0,0
"2021","Construction","Pihtipudas",0,0
"2021","Construction","Pirkkala",3,16
"2021","Construction","Polvijärvi",0,0
"2021","Construction","Pomarkku",0,0
"2021","Construction","Pori",10,31
"2021","Construction","Pornainen",2,2
"2021","Construction","Porvoo",7,35
"2021","Construction","Posio",0,0
"2021","Construction","Pudasjärvi",1,8
"2021","Construction","Pukkila",0,0
"2021","Construction","Punkalaidun",0,0
"2021","Construction","Puolanka",0,0
"2021","Construction","Puumala",0,0
"2021","Construction","Pyhtää",1,1
"2021","Construction","Pyhäjoki",0,0
"2021","Construction","Pyhäjärvi",1,1
"2021","Construction","Pyhäntä",0,0
"2021","Construction","Pyhäranta",1,3
"2021","Construction","Pälkäne",1,1
"2021","Construction","Pöytyä",1,1
"2021","Construction","Raahe",3,7
"2021","Construction","Raseborg",6,21
"2021","Construction","Raisio",2,14
"2021","Construction","Rantasalmi",0,0
"2021","Construction","Ranua",0,0
"2021","Construction","Rauma",1,1
"2021","Construction","Rautalampi",0,0
"2021","Construction","Rautavaara",0,0
"2021","Construction","Rautjärvi",0,0
"2021","Construction","Reisjärvi",0,0
"2021","Construction","Riihimäki",0,0
"2021","Construction","Ristijärvi",0,0
"2021","Construction","Rovaniemi",5,16
"2021","Construction","Ruokolahti",1,2
"2021","Construction","Ruovesi",1,1
"2021","Construction","Rusko",0,0
"2021","Construction","Rääkkylä",0,0
"2021","Construction","Saarijärvi",0,0
"2021","Construction","Salla",0,0
"2021","Construction","Salo",2,3
"2021","Construction","Saltvik",1,1
"2021","Construction","Sastamala",4,13
"2021","Construction","Sauvo",0,0
"2021","Construction","Savitaipale",1,1
"2021","Construction","Savonlinna",2,16
"2021","Construction","Savukoski",0,0
"2021","Construction","Seinäjoki",7,22
"2021","Construction","Sievi",1,1
"2021","Construction","Siikainen",0,0
"2021","Construction","Siikajoki",0,0
"2021","Construction","Siikalatva",2,3
"2021","Construction","Siilinjärvi",1,5
"2021","Construction","Simo",0,0
"2021","Construction","Sipoo",2,5
"2021","Construction","Siuntio",0,0
"2021","Construction","Sodankylä",0,0
"2021","Construction","Soini",0,0
"2021","Construction","Somero",1,2
"2021","Construction","Sonkajärvi",0,0
"2021","Construction","Sotkamo",2,15
"2021","Construction","Sottunga",0,0
"2021","Construction","Sulkava",1,1
"2021","Construction","Sund",0,0
"2021","Construction","Suomussalmi",2,2
"2021","Construction","Suonenjoki",0,0
"2021","Construction","Sysmä",1,1
"2021","Construction","Säkylä",1,1
"2021","Construction","Taipalsaari",1,5
"2021","Construction","Taivalkoski",0,0
"2021","Construction","Taivassalo",0,0
"2021","Construction","Tammela",0,0
"2021","Construction","Tampere",17,63
"2021","Construction","Tervo",0,0
"2021","Construction","Tervola",1,1
"2021","Construction","Teuva",0,0
"2021","Construction","Tohmajärvi",0,0
"2021","Construction","Toholampi",1,12
"2021","Construction","Toivakka",0,0
"2021","Construction","Tornio",1,3
"2021","Construction","Turku",20,120
"2021","Construction","Tuusniemi",2,23
"2021","Construction","Tuusula",9,17
"2021","Construction","Tyrnävä",2,2
"2021","Construction","Ulvila",5,21
"2021","Construction","Urjala",0,0
"2021","Construction","Utajärvi",0,0
"2021","Construction","Utsjoki",0,0
"2021","Construction","Uurainen",0,0
"2021","Construction","Nykarleby",0,0
"2021","Construction","Uusikaupunki",2,20
"2021","Construction","Vaala",0,0
"2021","Construction","Vaasa",5,35
"2021","Construction","Valkeakoski",2,14
"2021","Construction","Vantaa",32,272
"2021","Construction","Varkaus",2,4
"2021","Construction","Vehmaa",0,0
"2021","Construction","Vesanto",0,0
"2021","Construction","Vesilahti",0,0
"2021","Construction","Veteli",1,1
"2021","Construction","Vieremä",0,0
"2021","Construction","Vihti",7,97
"2021","Construction","Viitasaari",0,0
"2021","Construction","Vimpeli",0,0
"2021","Construction","Virolahti",0,0
"2021","Construction","Virrat",0,0
"2021","Construction","Vårdö",0,0
"2021","Construction","Vörå",1,1
"2021","Construction","Ylitornio",0,0
"2021","Construction","Ylivieska",3,14
"2021","Construction","Ylöjärvi",6,31
"2021","Construction","Ypäjä",0,0
"2021","Construction","Ähtäri",1,1
"2021","Construction","Äänekoski",1,1
"2021","Trade","WHOLE COUNTRY",415,1091
"2021","Trade","Akaa",0,0
"2021","Trade","Alajärvi",0,0
"2021","Trade","Alavieska",1,2
"2021","Trade","Alavus",1,1
"2021","Trade","Asikkala",0,0
"2021","Trade","Askola",0,0
"2021","Trade","Aura",1,1
"2021","Trade","Brändö",0,0
"2021","Trade","Eckerö",0,0
"2021","Trade","Enonkoski",0,0
"2021","Trade","Enontekiö",1,1
"2021","Trade","Espoo",23,63
"2021","Trade","Eura",0,0
"2021","Trade","Eurajoki",1,12
"2021","Trade","Evijärvi",0,0
"2021","Trade","Finström",0,0
"2021","Trade","Forssa",1,2
"2021","Trade","Föglö",0,0
"2021","Trade","Geta",0,0
"2021","Trade","Haapajärvi",0,0
"2021","Trade","Haapavesi",0,0
"2021","Trade","Hailuoto",0,0
"2021","Trade","Halsua",1,1
"2021","Trade","Hamina",2,18
"2021","Trade","Hammarland",0,0
"2021","Trade","Hankasalmi",0,0
"2021","Trade","Hanko",0,0
"2021","Trade","Harjavalta",2,2
"2021","Trade","Hartola",0,0
"2021","Trade","Hattula",1,1
"2021","Trade","Hausjärvi",1,1
"2021","Trade","Heinola",1,6
"2021","Trade","Heinävesi",0,0
"2021","Trade","Helsinki",81,256
"2021","Trade","Hirvensalmi",1,1
"2021","Trade","Hollola",2,9
"2021","Trade","Huittinen",0,0
"2021","Trade","Humppila",0,0
"2021","Trade","Hyrynsalmi",1,1
"2021","Trade","Hyvinkää",1,3
"2021","Trade","Hämeenkyrö",1,1
"2021","Trade","Hämeenlinna",5,5
"2021","Trade","Ii",0,0
"2021","Trade","Iisalmi",3,3
"2021","Trade","Iitti",0,0
"2021","Trade","Ikaalinen",0,0
"2021","Trade","Ilmajoki",0,0
"2021","Trade","Ilomantsi",0,0
"2021","Trade","Imatra",3,6
"2021","Trade","Inari",0,0
"2021","Trade","Ingå",0,0
"2021","Trade","Isojoki",0,0
"2021","Trade","Isokyrö",0,0
"2021","Trade","Janakkala",1,2
"2021","Trade","Joensuu",4,11
"2021","Trade","Jokioinen",0,0
"2021","Trade","Jomala",1,1
"2021","Trade","Joroinen",1,1
"2021","Trade","Joutsa",1,3
"2021","Trade","Juuka",0,0
"2021","Trade","Juupajoki",0,0
"2021","Trade","Juva",1,1
"2021","Trade","Jyväskylä",10,27
"2021","Trade","Jämijärvi",0,0
"2021","Trade","Jämsä",1,1
"2021","Trade","Järvenpää",4,7
"2021","Trade","Kaarina",3,8
"2021","Trade","Kaavi",0,0
"2021","Trade","Kajaani",1,1
"2021","Trade","Kalajoki",1,4
"2021","Trade","Kangasala",0,0
"2021","Trade","Kangasniemi",0,0
"2021","Trade","Kankaanpää",1,1
"2021","Trade","Kannonkoski",0,0
"2021","Trade","Kannus",0,0
"2021","Trade","Karijoki",0,0
"2021","Trade","Karkkila",0,0
"2021","Trade","Karstula",1,2
"2021","Trade","Karvia",0,0
"2021","Trade","Kaskinen",0,0
"2021","Trade","Kauhajoki",0,0
"2021","Trade","Kauhava",3,8
"2021","Trade","Kauniainen",1,1
"2021","Trade","Kaustinen",0,0
"2021","Trade","Keitele",0,0
"2021","Trade","Kemi",1,1
"2021","Trade","Kemijärvi",1,2
"2021","Trade","Keminmaa",0,0
"2021","Trade","Kimitoön",1,2
"2021","Trade","Kempele",1,2
"2021","Trade","Kerava",1,1
"2021","Trade","Keuruu",0,0
"2021","Trade","Kihniö",0,0
"2021","Trade","Kinnula",0,0
"2021","Trade","Kirkkonummi",0,0
"2021","Trade","Kitee",1,3
"2021","Trade","Kittilä",2,4
"2021","Trade","Kiuruvesi",0,0
"2021","Trade","Kivijärvi",0,0
"2021","Trade","Kokemäki",0,0
"2021","Trade","Kokkola",2,11
"2021","Trade","Kolari",2,7
"2021","Trade","Konnevesi",0,0
"2021","Trade","Kontiolahti",3,4
"2021","Trade","Korsnäs",0,0
"2021","Trade","Koski Tl",0,0
"2021","Trade","Kotka",1,1
"2021","Trade","Kouvola",4,4
"2021","Trade","Kristinestad",1,2
"2021","Trade","Kronoby",1,1
"2021","Trade","Kuhmo",0,0
"2021","Trade","Kuhmoinen",0,0
"2021","Trade","Kumlinge",0,0
"2021","Trade","Kuopio",3,17
"2021","Trade","Kuortane",0,0
"2021","Trade","Kurikka",0,0
"2021","Trade","Kustavi",0,0
"2021","Trade","Kuusamo",4,9
"2021","Trade","Kyyjärvi",0,0
"2021","Trade","Kärkölä",0,0
"2021","Trade","Kärsämäki",0,0
"2021","Trade","Kökar",0,0
"2021","Trade","Lahti",8,11
"2021","Trade","Laihia",0,0
"2021","Trade","Laitila",0,0
"2021","Trade","Lapinjärvi",0,0
"2021","Trade","Lapinlahti",1,1
"2021","Trade","Lappajärvi",0,0
"2021","Trade","Lappeenranta",9,18
"2021","Trade","Lapua",0,0
"2021","Trade","Laukaa",0,0
"2021","Trade","Lemi",0,0
"2021","Trade","Lemland",0,0
"2021","Trade","Lempäälä",1,5
"2021","Trade","Leppävirta",0,0
"2021","Trade","Lestijärvi",0,0
"2021","Trade","Lieksa",3,8
"2021","Trade","Lieto",1,1
"2021","Trade","Liminka",0,0
"2021","Trade","Liperi",3,7
"2021","Trade","Lohja",2,2
"2021","Trade","Loimaa",1,1
"2021","Trade","Loppi",0,0
"2021","Trade","Loviisa",2,2
"2021","Trade","Luhanka",0,0
"2021","Trade","Lumijoki",0,0
"2021","Trade","Lumparland",0,0
"2021","Trade","Larsmo",0,0
"2021","Trade","Luumäki",0,0
"2021","Trade","Malax",0,0
"2021","Trade","Mariehamn",1,1
"2021","Trade","Marttila",0,0
"2021","Trade","Masku",0,0
"2021","Trade","Merijärvi",0,0
"2021","Trade","Merikarvia",0,0
"2021","Trade","Miehikkälä",0,0
"2021","Trade","Mikkeli",2,12
"2021","Trade","Muhos",0,0
"2021","Trade","Multia",0,0
"2021","Trade","Muonio",0,0
"2021","Trade","Korsholm",0,0
"2021","Trade","Muurame",0,0
"2021","Trade","Mynämäki",0,0
"2021","Trade","Myrskylä",0,0
"2021","Trade","Mäntsälä",2,2
"2021","Trade","Mänttä-Vilppula",0,0
"2021","Trade","Mäntyharju",0,0
"2021","Trade","Naantali",2,2
"2021","Trade","Nakkila",1,2
"2021","Trade","Nivala",0,0
"2021","Trade","Nokia",2,2
"2021","Trade","Nousiainen",0,0
"2021","Trade","Nurmes",2,6
"2021","Trade","Nurmijärvi",3,14
"2021","Trade","Närpes",2,2
"2021","Trade","Orimattila",1,4
"2021","Trade","Oripää",0,0
"2021","Trade","Orivesi",2,5
"2021","Trade","Oulainen",0,0
"2021","Trade","Oulu",10,26
"2021","Trade","Outokumpu",0,0
"2021","Trade","Padasjoki",0,0
"2021","Trade","Paimio",0,0
"2021","Trade","Paltamo",0,0
"2021","Trade","Pargas",1,1
"2021","Trade","Parikkala",0,0
"2021","Trade","Parkano",0,0
"2021","Trade","Pedersöre",1,1
"2021","Trade","Pelkosenniemi",0,0
"2021","Trade","Pello",0,0
"2021","Trade","Perho",0,0
"2021","Trade","Petäjävesi",1,1
"2021","Trade","Pieksämäki",0,0
"2021","Trade","Pielavesi",0,0
"2021","Trade","Jakobstad",2,5
"2021","Trade","Pihtipudas",0,0
"2021","Trade","Pirkkala",1,1
"2021","Trade","Polvijärvi",0,0
"2021","Trade","Pomarkku",0,0
"2021","Trade","Pori",6,24
"2021","Trade","Pornainen",0,0
"2021","Trade","Porvoo",2,6
"2021","Trade","Posio",0,0
"2021","Trade","Pudasjärvi",0,0
"2021","Trade","Pukkila",0,0
"2021","Trade","Punkalaidun",0,0
"2021","Trade","Puolanka",0,0
"2021","Trade","Puumala",0,0
"2021","Trade","Pyhtää",0,0
"2021","Trade","Pyhäjoki",0,0
"2021","Trade","Pyhäjärvi",1,2
"2021","Trade","Pyhäntä",0,0
"2021","Trade","Pyhäranta",0,0
"2021","Trade","Pälkäne",1,1
"2021","Trade","Pöytyä",1,3
"2021","Trade","Raahe",1,1
"2021","Trade","Raseborg",0,0
"2021","Trade","Raisio",2,2
"2021","Trade","Rantasalmi",0,0
"2021","Trade","Ranua",0,0
"2021","Trade","Rauma",4,14
